X	Y	mean	nr_fire	nr_100km2	gridsize
-170.5	-0.5	0	0	0	1239140.147
-170.5	0.5	0	0	0	1239140.147
-170.5	1.5	0	0	0	1238762.693
-170.5	2.5	0	0	0	1238007.9
-170.5	3.5	0	0	0	1236875.997
-170.5	4.5	0	0	0	1235367.33
-170.5	5.5	0	0	0	1233482.358
-170.5	6.5	0	0	0	1231221.655
-170.5	7.5	0	0	0	1228585.91
-170.5	8.5	0	0	0	1225575.926
-170.5	9.5	0	0	0	1222192.619
-170.5	10.5	0	0	0	1218437.02
-170.5	11.5	0	0	0	1214310.274
-170.5	12.5	0	0	0	1209813.637
-170.5	13.5	0	0	0	1204948.479
-170.5	14.5	0	0	0	1199716.282
-170.5	15.5	0	0	0	1194118.639
-170.5	16.5	0	0	0	1188157.257
-170.5	17.5	0	0	0	1181833.95
-169.5	-35.5	0	0	0	1008841.594
-169.5	-34.5	0	0	0	1021246.691
-169.5	-33.5	0	0	0	1033340.707
-169.5	-32.5	0	0	0	1045119.957
-169.5	-31.5	0	0	0	1056580.854
-169.5	-30.5	0	0	0	1067719.906
-169.5	-29.5	0	0	0	1078533.72
-169.5	-28.5	0	0	0	1089019.002
-169.5	-27.5	0	0	0	1099172.558
-169.5	-26.5	0	0	0	1108991.296
-169.5	-25.5	0	0	0	1118472.224
-169.5	-24.5	0	0	0	1127612.455
-169.5	-23.5	0	0	0	1136409.204
-169.5	-22.5	0	0	0	1144859.792
-169.5	-21.5	0	0	0	1152961.644
-169.5	-20.5	0	0	0	1160712.293
-169.5	-19.5	0	0	0	1168109.378
-169.5	-18.5	0	0	0	1175150.645
-169.5	-17.5	0	0	0	1181833.95
-169.5	-16.5	0	0	0	1188157.257
-169.5	-15.5	0	0	0	1194118.639
-169.5	-14.5	0	0	0	1199716.282
-169.5	-13.5	0	0	0	1204948.479
-169.5	-12.5	0	0	0	1209813.637
-169.5	-11.5	0	0	0	1214310.274
-169.5	-10.5	0	0	0	1218437.02
-169.5	-9.5	0	0	0	1222192.619
-169.5	-8.5	0	0	0	1225575.926
-169.5	-7.5	0	0	0	1228585.91
-169.5	-6.5	0	0	0	1231221.655
-169.5	-5.5	0	0	0	1233482.358
-169.5	-4.5	0	0	0	1235367.33
-169.5	-3.5	0	0	0	1236875.997
-169.5	-2.5	0	0	0	1238007.9
